Plan,Verified Emails,Leads,Regular Price,Member Price (40% OFF),Badge,Best For,Buy link
Starter,5K,24K,$NaN,$NaN,Entry Plan,Solo outreach,https://whop.com/legal-leadspitch/starter-lawyer-leads/
Growth,25K,90K,$NaN,$NaN,Most Popular,Small agencies,https://whop.com/legal-leadspitch/growth-lawyer-leads/
Professional,50K,145K,$NaN,$NaN,Best Value,Growing sales teams,https://whop.com/legal-leadspitch/professional-lawyer-leads/
Business,100K,300K,$NaN,$NaN,High Volume,Large campaigns,https://whop.com/legal-leadspitch/business-lawyer-leads/
Enterprise,300K,900K+,$NaN,$NaN,Complete Database,Full market coverage,https://whop.com/legal-leadspitch/enterprise-lawyer-leads/
,,,,,,,
,,,,,,,
Plan,Monthly Verified Emails,Monthly Lawyer Records,Delivery Period,Total Emails,One-Time Price,Best For,Buy link
Starter,25K,75K+,12 Months,300K,$NaN,Long-term outreach,https://whop.com/legal-leadspitch/lawyers-starter-monthly-data-plan-for-12-months/
Growth,50K,150K+,6 Months,300K,$NaN,Growing businesses,https://whop.com/legal-leadspitch/lawyers-growth-monthly-data-plan-for-6-months/
Professional,75K,225K+,4 Months,300K,$NaN,Agencies,https://whop.com/legal-leadspitch/lawyers-professional-monthly-data-plan-for-4-months/
Business,100K,300K+,3 Months,300K,$NaN,High-volume outreach,https://whop.com/legal-leadspitch/lawyers-enterprise-monthly-data-plan-for-3-months/
