Plan,Verified Emails,Leads,Regular Price,Member Price (40% OFF),Badge,Best For,Buy Link
Starter,5K,28K,$NaN,$NaN,Entry Plan,Small outreach campaigns,https://whop.com/beauty-and-welness-leadspitch/starter-beauty-and-wellness/
Growth,25K,100K,$NaN,$NaN,Most Popular,Freelancers & agencies,https://whop.com/beauty-and-welness-leadspitch/growth-beauty-and-wellness/
Professional,50K,165K,$NaN,$NaN,Best Value,Growing businesses,https://whop.com/beauty-and-welness-leadspitch/professional-beauty-and-wellness/
Business,100K,340K,$NaN,$NaN,High Volume,Large campaigns,https://whop.com/beauty-and-welness-leadspitch/business-beauty-and-wellness/
Enterprise,160K,560K+,$NaN,$NaN,Complete Database,Entire Beauty & Wellness market,https://whop.com/beauty-and-welness-leadspitch/enterprise-beauty-and-wellness/
,,,,,,,
Plan,Monthly Emails,Leads,Delivery,Total Emails,Price,Best For,Buy Link
Starter,13K,45K+,12 Months,156K,$NaN,Small outreach campaigns,https://whop.com/beauty-and-welness-leadspitch/beauty-and-wellness-starter-monthly-data-plan-for-12-months/
Growth,27K,95K+,6 Months,162K,$NaN,Freelancers & agencies,https://whop.com/beauty-and-welness-leadspitch/beauty-and-wellness-growth-monthly-data-plan-for-6-months/
Professional,40K,145K+,4 Months,160K,$NaN,Growing businesses,https://whop.com/beauty-and-welness-leadspitch/beauty-and-wellness-professional-monthly-data-plan-for-4-months/
Business,54K,195K+,3 Months,162K,$NaN,Large campaigns,https://whop.com/beauty-and-welness-leadspitch/beauty-and-wellness-business-monthly-data-plan-for-3-months/
